molecule_id,therapeutic_area,molecular_weight,logP,hbond_donors,hbond_acceptors
MOL00123,Oncology,459.35,2.48,3,10
MOL00124,Immunology,538.45,4.08,1,7
MOL00125,Oncology,384.83,3.15,0,3
MOL00126,Neurology,546.61,1.79,5,6
MOL00127,Immunology,334.89,3.95,5,7
MOL00128,Immunology,270.61,4.04,5,2
MOL00129,Oncology,419.19,1.52,2,5
MOL00130,Neurology,331.14,2.55,5,8
MOL00131,Cardiology,465.31,4.15,5,1
MOL00132,Oncology,337.99,2.22,0,5
MOL00133,Cardiology,437.61,4.28,3,4
MOL00134,Cardiology,251.67,4.8,4,6
MOL00135,Immunology,325.48,5.0,1,3
MOL00136,Cardiology,460.93,2.1,2,2
MOL00137,Cardiology,303.09,3.6,2,5
MOL00138,Neurology,261.81,4.42,5,1
MOL00139,Neurology,312.13,1.28,4,8
MOL00140,Neurology,455.84,4.28,0,1
MOL00141,Immunology,334.51,2.24,2,4
MOL00142,Neurology,288.57,3.71,4,8
MOL00143,Cardiology,446.6,2.63,3,3
MOL00144,Neurology,430.57,4.86,0,3
MOL00145,Immunology,302.4,4.54,1,10
MOL00146,Neurology,360.64,2.17,5,2
MOL00147,Neurology,304.5,4.73,4,8
MOL00148,Neurology,531.62,4.94,4,2
MOL00149,Neurology,425.17,3.96,2,6
MOL00150,Neurology,466.5,3.74,0,5
MOL00151,Cardiology,436.45,2.09,4,6
MOL00152,Immunology,330.14,2.37,3,7
MOL00153,Neurology,260.38,2.73,3,1
MOL00154,Cardiology,454.39,3.89,0,6
MOL00155,Neurology,285.95,3.87,2,1
MOL00156,Cardiology,468.77,3.8,5,7
MOL00157,Neurology,482.01,3.16,1,6
MOL00158,Oncology,350.77,4.27,0,7
MOL00159,Immunology,543.83,1.41,4,8
MOL00160,Neurology,419.94,3.69,3,8
MOL00161,Cardiology,471.57,1.01,0,3
MOL00162,Cardiology,334.71,4.3,2,9
MOL00163,Oncology,383.65,3.27,3,10
MOL00164,Cardiology,431.06,4.38,2,1
MOL00165,Oncology,474.34,2.76,2,9
MOL00166,Immunology,335.13,4.34,2,5
MOL00167,Oncology,394.68,1.59,4,6
MOL00168,Neurology,394.78,2.46,1,1
MOL00169,Oncology,289.84,3.32,2,5
MOL00170,Immunology,419.48,3.28,4,10
MOL00171,Oncology,265.49,3.87,2,9
MOL00172,Neurology,446.15,4.69,2,8
MOL00173,Immunology,256.08,4.39,2,6
MOL00174,Oncology,350.69,1.94,5,4
MOL00175,Neurology,377.84,1.12,0,7
MOL00176,Cardiology,492.88,1.46,3,7
MOL00177,Cardiology,411.59,1.88,1,8
MOL00178,Neurology,486.08,4.58,2,9
MOL00179,Immunology,449.82,4.39,1,8
MOL00180,Immunology,287.96,1.92,5,10
MOL00181,Oncology,346.7,4.15,5,5
MOL00182,Oncology,434.54,4.79,3,5
MOL00183,Cardiology,250.72,1.92,5,3
MOL00184,Cardiology,525.48,1.13,4,8
MOL00185,Cardiology,273.07,3.16,1,6
MOL00186,Cardiology,288.22,1.18,4,5
MOL00187,Oncology,411.88,1.34,2,10
MOL00188,Neurology,504.32,2.15,4,1
MOL00189,Oncology,401.37,4.2,2,8
MOL00190,Immunology,423.53,1.89,0,5
MOL00191,Oncology,399.66,4.05,0,2
MOL00192,Cardiology,407.39,1.85,0,4
MOL00193,Neurology,447.13,1.62,0,10
MOL00194,Immunology,388.94,4.42,3,2
MOL00195,Oncology,441.33,4.79,3,5
MOL00196,Immunology,331.3,3.07,0,10
MOL00197,Neurology,391.66,3.61,2,7
MOL00198,Neurology,404.69,2.33,2,8
MOL00199,Oncology,501.52,1.03,1,4
MOL00200,Oncology,386.48,4.42,4,4
MOL00201,Cardiology,398.16,2.54,0,5
MOL00202,Oncology,507.33,1.91,3,6
MOL00203,Neurology,530.18,3.26,3,2
MOL00204,Cardiology,442.46,1.61,2,4
MOL00205,Oncology,356.97,1.9,0,8
MOL00206,Cardiology,321.48,2.19,0,6
MOL00207,Cardiology,391.25,4.85,2,6
MOL00208,Immunology,335.9,1.17,1,5
MOL00209,Neurology,364.34,3.52,5,6
MOL00210,Oncology,444.34,4.24,5,7
MOL00211,Oncology,322.77,2.84,5,9
MOL00212,Immunology,432.34,4.95,1,4
MOL00213,Neurology,426.92,2.38,5,3
MOL00214,Oncology,429.12,3.79,4,5
MOL00215,Oncology,445.92,4.49,0,9
MOL00216,Oncology,306.72,3.7,1,1
MOL00217,Immunology,524.35,3.58,2,8
MOL00218,Immunology,443.48,4.82,3,3
MOL00219,Immunology,428.61,4.07,3,2
MOL00220,Immunology,417.53,4.67,0,3
MOL00221,Oncology,406.96,4.44,1,2
MOL00222,Immunology,426.68,1.24,5,10
MOL00223,Oncology,469.55,1.04,3,2
MOL00224,Cardiology,254.38,2.38,0,6
MOL00225,Neurology,471.87,3.51,5,4
MOL00226,Neurology,527.5,1.3,4,10
MOL00227,Oncology,541.76,4.31,5,7
MOL00228,Cardiology,269.28,3.88,3,5
MOL00229,Oncology,296.22,1.34,5,10
MOL00230,Immunology,392.48,2.79,2,8
MOL00231,Cardiology,309.09,2.46,0,2
MOL00232,Cardiology,433.42,4.15,2,6
MOL00233,Immunology,409.26,4.17,1,2
MOL00234,Immunology,296.82,4.16,5,9
MOL00235,Oncology,504.11,2.54,0,5
MOL00236,Neurology,286.94,2.72,3,8
MOL00237,Oncology,348.41,3.11,0,5
MOL00238,Neurology,319.01,2.61,3,7
MOL00239,Oncology,449.06,3.25,5,1
MOL00240,Oncology,290.71,2.09,3,7
MOL00241,Neurology,276.33,3.21,2,8
MOL00242,Neurology,433.12,1.47,3,3
MOL00243,Oncology,470.68,2.92,2,7
MOL00244,Cardiology,363.31,1.82,1,2
MOL00245,Neurology,291.97,3.92,1,4
MOL00246,Cardiology,440.92,4.77,5,4
MOL00247,Cardiology,467.96,4.59,3,10
MOL00248,Oncology,485.95,1.14,0,8
MOL00249,Neurology,296.42,2.84,5,2
MOL00250,Immunology,314.93,2.22,3,9
MOL00251,Cardiology,526.62,3.42,5,10
MOL00252,Immunology,479.06,2.07,4,8
MOL00253,Neurology,548.05,1.9,3,7
MOL00254,Oncology,394.39,4.16,0,10
MOL00255,Oncology,362.45,4.63,4,5
MOL00256,Cardiology,388.0,4.35,5,6
MOL00257,Immunology,260.54,1.41,5,4
MOL00258,Cardiology,469.12,3.23,3,3
MOL00259,Neurology,442.51,1.36,5,8
MOL00260,Cardiology,416.44,4.84,5,3
MOL00261,Neurology,496.0,2.87,0,8
MOL00262,Oncology,364.25,4.45,0,9
MOL00263,Neurology,309.22,1.74,4,1
MOL00264,Oncology,364.23,1.31,3,9
MOL00265,Neurology,327.38,3.02,3,8
MOL00266,Oncology,290.27,4.84,0,2
MOL00267,Immunology,521.99,4.17,3,2
MOL00268,Cardiology,511.17,3.48,1,6
MOL00269,Cardiology,390.93,4.16,0,4
MOL00270,Immunology,398.25,4.66,2,3
MOL00271,Neurology,313.62,2.29,0,5
MOL00272,Oncology,251.66,3.17,2,10
MOL00273,Neurology,533.89,4.36,4,2
MOL00274,Cardiology,535.12,1.61,0,5
MOL00275,Cardiology,328.65,4.02,4,4
MOL00276,Immunology,290.81,3.9,4,6
MOL00277,Cardiology,457.04,3.21,1,4
MOL00278,Oncology,269.06,2.61,0,6
MOL00279,Immunology,502.68,3.18,0,7
MOL00280,Oncology,393.34,1.45,2,10
MOL00281,Cardiology,321.8,2.31,5,10
MOL00282,Oncology,462.58,3.44,2,10
MOL00283,Neurology,341.57,3.55,3,6
MOL00284,Oncology,375.52,2.48,1,1
MOL00285,Cardiology,501.84,4.95,4,9
MOL00286,Oncology,345.25,2.49,5,5
MOL00287,Oncology,531.6,2.5,0,10
MOL00288,Immunology,494.36,1.04,2,9
MOL00289,Oncology,361.88,2.87,2,8
MOL00290,Cardiology,483.53,1.8,3,3
MOL00291,Oncology,536.94,3.62,0,6
MOL00292,Oncology,352.91,4.38,2,9
MOL00293,Neurology,402.82,3.3,3,8
MOL00294,Cardiology,495.48,2.55,1,8
MOL00295,Oncology,391.05,1.87,3,7
MOL00296,Neurology,438.69,4.38,5,5
MOL00297,Oncology,361.2,1.28,4,7
MOL00298,Immunology,349.07,2.07,1,1
MOL00299,Cardiology,407.88,2.87,2,1
MOL00300,Oncology,311.5,4.07,3,3
MOL00301,Oncology,443.94,4.04,4,10
MOL00302,Cardiology,270.69,4.35,5,10
MOL00303,Oncology,549.27,3.84,5,9
MOL00304,Oncology,531.74,3.92,4,5
MOL00305,Neurology,447.91,4.44,1,3
MOL00306,Neurology,312.32,1.4,4,8
MOL00307,Immunology,499.7,1.89,2,7
MOL00308,Neurology,273.03,2.74,5,8
MOL00309,Immunology,359.31,1.28,2,1
MOL00310,Cardiology,355.92,4.91,1,5
MOL00311,Cardiology,382.93,3.71,5,7
MOL00312,Neurology,356.97,3.26,5,1
MOL00313,Cardiology,333.84,3.35,4,8
MOL00314,Cardiology,455.33,1.13,0,1
MOL00315,Cardiology,543.69,2.9,5,5
MOL00316,Neurology,435.21,1.62,1,6
MOL00317,Cardiology,269.51,2.56,4,8
MOL00318,Oncology,531.72,1.55,0,1
MOL00319,Neurology,355.32,4.27,1,2
MOL00320,Cardiology,466.0,2.23,4,7
MOL00321,Neurology,268.82,1.06,1,8
MOL00322,Cardiology,391.67,2.0,1,3
MOL00323,Cardiology,357.28,4.39,1,3
MOL00324,Cardiology,358.1,4.88,4,6
MOL00325,Immunology,332.58,4.48,1,3
MOL00326,Neurology,423.82,4.74,0,1
MOL00327,Cardiology,386.64,1.54,2,9
MOL00328,Neurology,470.17,2.51,1,8
MOL00329,Oncology,353.49,3.79,4,7
MOL00330,Immunology,506.59,1.38,2,4
MOL00331,Immunology,421.54,2.64,5,5
MOL00332,Oncology,466.88,2.54,3,7
MOL00333,Immunology,324.34,4.05,4,7
MOL00334,Immunology,470.88,1.49,3,8
MOL00335,Oncology,377.56,3.59,0,8
MOL00336,Oncology,330.25,1.45,3,10
MOL00337,Neurology,287.74,3.69,2,7
MOL00338,Cardiology,253.35,4.16,3,8
MOL00339,Immunology,396.55,4.48,1,8
MOL00340,Neurology,315.66,4.7,1,6
MOL00341,Immunology,359.45,4.27,5,2
MOL00342,Oncology,533.65,3.69,5,3
MOL00343,Neurology,291.17,2.51,5,1
MOL00344,Immunology,436.47,1.52,4,6
MOL00345,Immunology,485.92,2.77,4,5
MOL00346,Cardiology,305.46,1.05,3,9
MOL00347,Immunology,435.13,1.22,4,5
MOL00348,Neurology,412.61,2.25,5,4
MOL00349,Cardiology,465.2,3.43,2,3
MOL00350,Neurology,491.69,3.27,0,2
MOL00351,Oncology,495.61,3.15,4,8
MOL00352,Neurology,335.4,1.78,2,4
MOL00353,Immunology,403.39,2.24,2,7
MOL00354,Neurology,473.59,2.99,0,7
MOL00355,Neurology,470.66,3.79,4,1
MOL00356,Neurology,539.54,3.12,2,9
MOL00357,Oncology,501.24,4.62,1,1
MOL00358,Neurology,548.9,1.17,4,6
MOL00359,Immunology,525.25,2.36,4,8
MOL00360,Oncology,392.44,4.41,4,3
MOL00361,Immunology,545.11,2.42,2,6
MOL00362,Immunology,280.48,2.01,2,4
MOL00363,Immunology,498.27,2.45,5,6
MOL00364,Oncology,353.7,1.1,5,10
MOL00365,Oncology,253.05,3.68,3,2
MOL00366,Oncology,469.95,3.81,4,9
MOL00367,Immunology,314.83,2.79,5,8
MOL00368,Neurology,415.26,1.09,1,10
MOL00369,Oncology,549.67,1.13,2,7
MOL00370,Oncology,435.82,1.64,4,6
MOL00371,Cardiology,453.83,1.01,5,3
MOL00372,Cardiology,260.67,4.7,5,4
MOL00373,Neurology,424.0,3.29,0,4
MOL00374,Oncology,280.22,1.4,0,6
MOL00375,Neurology,502.44,4.66,4,3
MOL00376,Neurology,425.87,3.61,4,5
MOL00377,Cardiology,380.42,3.5,3,4
MOL00378,Oncology,526.25,1.38,2,2
MOL00379,Neurology,403.3,2.84,4,6
MOL00380,Cardiology,376.26,4.8,5,7
MOL00381,Cardiology,474.27,3.14,0,2
MOL00382,Neurology,297.12,4.76,4,5
MOL00383,Cardiology,387.34,4.86,3,1
MOL00384,Oncology,483.32,2.44,0,4
MOL00385,Neurology,269.9,1.13,3,2
MOL00386,Cardiology,377.0,4.24,0,10
MOL00387,Neurology,482.3,4.31,3,6
MOL00388,Oncology,530.97,2.83,3,1
MOL00389,Immunology,517.47,3.79,4,3
MOL00390,Oncology,315.42,3.22,0,3
MOL00391,Cardiology,486.62,1.85,3,6
MOL00392,Immunology,482.25,4.35,2,4
MOL00393,Immunology,294.91,3.77,4,8
MOL00394,Immunology,445.64,3.1,5,5
MOL00395,Cardiology,494.65,4.45,0,4
MOL00396,Cardiology,414.46,4.0,0,5
MOL00397,Oncology,459.86,4.91,0,4
MOL00398,Cardiology,278.59,2.65,1,5
MOL00399,Cardiology,440.22,3.2,5,10
MOL00400,Cardiology,382.37,2.27,5,10
MOL00401,Neurology,467.02,3.23,1,7
MOL00402,Neurology,510.55,1.28,0,7
MOL00403,Oncology,364.63,3.68,1,4
MOL00404,Cardiology,398.04,2.88,4,3
MOL00405,Cardiology,389.92,1.47,4,7
MOL00406,Immunology,546.15,1.59,2,6
MOL00407,Cardiology,255.85,2.61,2,7
MOL00408,Immunology,427.9,4.61,0,10
MOL00409,Neurology,350.44,1.2,0,3
MOL00410,Immunology,251.99,2.25,0,4
MOL00411,Immunology,432.51,3.66,1,10
MOL00412,Oncology,480.48,1.44,4,8
MOL00413,Cardiology,291.34,2.3,0,7
MOL00414,Neurology,460.18,1.71,4,1
MOL00415,Cardiology,471.11,3.66,0,6
MOL00416,Oncology,304.45,1.09,1,3
MOL00417,Immunology,369.97,2.76,3,6
MOL00418,Immunology,347.86,1.53,1,1
MOL00419,Oncology,361.77,1.69,3,5
MOL00420,Cardiology,378.46,1.95,2,1
MOL00421,Immunology,449.03,1.4,2,5
MOL00422,Oncology,445.41,4.23,3,10
MOL00423,Immunology,406.61,4.04,0,7
MOL00424,Immunology,310.47,1.76,2,5
MOL00425,Immunology,320.54,2.39,3,8
MOL00426,Oncology,545.38,4.79,0,7
MOL00427,Neurology,352.42,1.09,3,4
MOL00428,Cardiology,494.09,1.2,4,9
MOL00429,Oncology,345.51,4.93,3,8
MOL00430,Immunology,414.38,4.3,0,7
MOL00431,Immunology,424.15,2.78,0,1
MOL00432,Cardiology,335.9,3.43,2,7
MOL00433,Neurology,304.6,4.71,4,2
MOL00434,Neurology,435.01,1.15,5,9
MOL00435,Neurology,328.27,1.41,2,2
MOL00436,Immunology,299.8,4.61,4,8
MOL00437,Oncology,306.63,2.89,3,2
MOL00438,Neurology,320.97,2.85,1,7
MOL00439,Immunology,293.52,4.94,3,4
MOL00440,Oncology,268.88,2.5,0,4
MOL00441,Immunology,397.92,2.93,5,4
MOL00442,Immunology,405.64,2.55,3,8
MOL00443,Immunology,493.35,4.35,3,3
MOL00444,Neurology,376.51,4.33,0,8
MOL00445,Immunology,538.84,1.51,2,5
MOL00446,Neurology,433.55,2.29,0,4
MOL00447,Cardiology,487.64,1.45,1,9
MOL00448,Neurology,259.57,2.82,5,4
MOL00449,Neurology,372.31,1.53,4,2
MOL00450,Oncology,443.12,4.32,4,2
MOL00451,Neurology,422.09,4.65,1,4
MOL00452,Immunology,422.29,1.05,4,4
MOL00453,Cardiology,542.47,1.96,0,10
MOL00454,Immunology,498.75,2.22,2,1
MOL00455,Cardiology,300.68,1.83,3,8
MOL00456,Oncology,487.99,2.6,5,6
MOL00457,Neurology,388.2,3.51,4,2
MOL00458,Cardiology,432.44,2.91,1,2
MOL00459,Oncology,327.34,3.38,5,3
MOL00460,Neurology,405.25,2.64,3,7
MOL00461,Oncology,337.45,1.05,3,2
MOL00462,Cardiology,332.99,2.61,1,1
MOL00463,Immunology,538.2,4.95,5,8
MOL00464,Neurology,341.63,3.93,4,10
MOL00465,Neurology,522.5,4.71,1,3
MOL00466,Immunology,274.39,2.92,1,9
MOL00467,Oncology,307.11,1.3,5,5
MOL00468,Oncology,496.8,4.4,3,2
MOL00469,Neurology,294.82,1.2,3,7
MOL00470,Immunology,418.69,4.27,3,4
MOL00471,Neurology,434.93,4.5,1,10
MOL00472,Oncology,282.43,3.6,0,5
MOL00473,Immunology,354.4,1.01,5,7
MOL00474,Immunology,423.98,1.52,2,5
MOL00475,Oncology,277.91,4.15,2,8
MOL00476,Oncology,472.79,1.0,0,4
MOL00477,Oncology,327.15,4.91,3,9
MOL00478,Oncology,350.8,2.32,5,10
MOL00479,Neurology,506.09,2.94,1,4
MOL00480,Immunology,495.93,2.07,2,10
MOL00481,Immunology,504.4,2.68,2,5
MOL00482,Neurology,264.78,2.38,3,6
MOL00483,Neurology,544.46,2.03,1,5
MOL00484,Cardiology,284.76,4.92,0,6
MOL00485,Immunology,412.62,3.06,1,10
MOL00486,Cardiology,464.26,3.35,4,9
MOL00487,Oncology,405.09,2.78,5,10
MOL00488,Neurology,398.57,2.96,5,6
MOL00489,Cardiology,430.89,1.88,4,10
MOL00490,Immunology,385.29,2.97,1,8
MOL00491,Neurology,294.55,3.25,2,1
MOL00492,Cardiology,273.88,1.98,3,3
MOL00493,Immunology,343.58,2.35,1,4
MOL00494,Cardiology,432.1,4.34,2,9
MOL00495,Oncology,431.08,1.18,4,10
MOL00496,Neurology,503.87,2.44,1,2
MOL00497,Neurology,403.54,1.52,2,5
MOL00498,Oncology,497.04,1.25,2,5
MOL00499,Immunology,312.62,3.14,2,1
MOL00500,Neurology,466.6,3.7,5,10
MOL00501,Cardiology,492.81,2.5,1,9
MOL00502,Immunology,271.76,3.48,2,4
MOL00503,Immunology,355.78,4.34,3,8
MOL00504,Cardiology,418.6,3.44,2,8
MOL00505,Oncology,315.61,4.08,0,1
MOL00506,Oncology,259.81,3.11,0,7
MOL00507,Immunology,324.39,4.49,1,3
MOL00508,Immunology,293.35,1.1,4,2
MOL00509,Neurology,366.51,4.12,4,4
MOL00510,Immunology,515.02,2.93,4,6
MOL00511,Immunology,267.71,4.62,4,1
MOL00512,Oncology,297.98,2.29,0,4
MOL00513,Oncology,303.67,3.93,4,6
MOL00514,Neurology,440.58,4.6,5,4
MOL00515,Neurology,538.81,2.14,1,9
MOL00516,Cardiology,250.68,2.69,4,1
MOL00517,Cardiology,356.4,1.17,4,1
MOL00518,Neurology,320.65,3.47,5,2
MOL00519,Immunology,517.47,2.93,1,5
MOL00520,Oncology,304.23,4.17,5,1
MOL00521,Cardiology,258.17,1.44,1,5
MOL00522,Immunology,311.01,3.75,4,8
MOL00523,Oncology,393.31,4.01,5,2
MOL00524,Immunology,422.91,2.62,2,9
MOL00525,Immunology,462.44,2.02,0,7
MOL00526,Oncology,518.68,1.41,5,4
MOL00527,Neurology,385.53,2.84,4,2
MOL00528,Cardiology,537.47,4.51,3,9
MOL00529,Neurology,389.07,3.13,2,6
MOL00530,Oncology,399.87,2.31,3,3
MOL00531,Neurology,320.4,2.57,2,9
MOL00532,Immunology,513.96,2.47,1,2
MOL00533,Immunology,514.77,1.01,1,10
MOL00534,Immunology,298.37,1.96,3,3
MOL00535,Oncology,487.8,2.19,4,10
MOL00536,Oncology,261.08,1.02,3,4
MOL00537,Neurology,438.33,3.09,4,10
MOL00538,Neurology,446.33,3.56,4,9
MOL00539,Immunology,332.73,1.99,3,10
MOL00540,Oncology,363.52,1.56,4,9
MOL00541,Neurology,380.01,4.12,5,6
MOL00542,Oncology,354.78,2.94,0,1
MOL00543,Oncology,345.9,3.69,0,1
MOL00544,Cardiology,323.9,1.23,1,4
MOL00545,Immunology,493.27,2.32,0,4
MOL00546,Immunology,491.29,1.77,5,2
MOL00547,Cardiology,450.35,4.49,5,6
MOL00548,Immunology,347.79,3.04,0,9
MOL00549,Cardiology,496.87,4.63,3,4
MOL00550,Neurology,519.07,2.04,0,8
MOL00551,Oncology,462.43,2.35,1,6
MOL00552,Cardiology,449.31,2.76,1,10
MOL00553,Cardiology,524.88,1.4,5,4
MOL00554,Cardiology,469.37,2.73,4,5
MOL00555,Oncology,319.92,1.86,2,9
MOL00556,Cardiology,419.36,4.69,5,5
MOL00557,Immunology,356.26,2.55,5,6
MOL00558,Immunology,376.82,1.33,0,8
MOL00559,Oncology,510.61,2.5,3,2
MOL00560,Oncology,316.31,4.98,4,3
MOL00561,Oncology,256.13,2.96,1,2
MOL00562,Immunology,399.99,4.3,1,7
MOL00563,Cardiology,497.46,4.87,1,2
MOL00564,Oncology,339.14,2.64,0,9
MOL00565,Cardiology,376.11,2.84,4,4
MOL00566,Oncology,354.28,4.0,4,8
MOL00567,Neurology,272.09,2.45,2,7
MOL00568,Cardiology,474.87,4.82,1,2
MOL00569,Cardiology,268.62,4.9,3,9
MOL00570,Immunology,487.36,3.9,5,5
MOL00571,Immunology,345.35,4.97,3,1
MOL00572,Oncology,336.03,4.11,0,4
MOL00573,Oncology,378.02,1.86,3,6
MOL00574,Immunology,437.58,2.0,2,5
MOL00575,Cardiology,319.6,3.13,5,1
MOL00576,Immunology,336.18,4.2,3,3
MOL00577,Immunology,418.46,2.19,3,9
MOL00578,Oncology,436.78,3.57,1,1
MOL00579,Cardiology,431.86,1.78,4,3
MOL00580,Neurology,435.27,2.59,4,1
MOL00581,Oncology,269.65,2.7,0,1
MOL00582,Neurology,365.98,1.05,0,9
MOL00583,Oncology,400.45,2.12,0,1
MOL00584,Immunology,459.74,4.58,1,3
MOL00585,Immunology,518.52,2.7,3,9
MOL00586,Oncology,348.51,3.29,4,7
MOL00587,Cardiology,518.72,3.39,2,9
MOL00588,Oncology,486.98,4.27,1,9
MOL00589,Immunology,524.5,2.66,0,9
MOL00590,Cardiology,543.29,3.05,0,9
MOL00591,Oncology,468.31,2.17,2,9
MOL00592,Oncology,362.33,4.03,5,7
MOL00593,Cardiology,302.47,1.07,0,6
MOL00594,Oncology,453.81,1.68,1,7
MOL00595,Cardiology,328.06,1.77,3,4
MOL00596,Oncology,331.24,3.3,0,6
MOL00597,Immunology,477.87,4.91,1,3
MOL00598,Cardiology,533.02,1.12,3,9
